order_id,date,customer,region,category,product,quantity,unit_price,total,status
ORD0044,2025-05-14,何勇女士,华中,服装鞋帽,连衣裙,6,2505.52,15033.12,待支付
ORD0045,2025-04-09,孙艳先生,华中,服装鞋帽,牛仔裤,12,2850.24,34202.88,已完成
ORD0046,2025-06-23,何勇女士,华南,家居用品,水杯,17,3952.61,67194.37,已完成
ORD0047,2025-01-12,黄强先生,华中,家居用品,衣架,16,,null,待支付
ORD0048,2025-03-19,陈静,西北,运动户外,护膝,2,,nan,已取消
ORD0049,2025-11-22,何勇女士,,电子产品,数据线,19,1308.1,24853.9,待发货
ORD0050,2025-11-27,林雪先生,,服装鞋帽,羽绒服,1,3524.75,3524.75,已完成
ORD0051,2025-08-06,郭文先生,西南,服装鞋帽,围巾,12,994.41,11932.92,已完成
ORD0052,2025-04-10,梁平先生,西北,服装鞋帽,帽子,20,940.63,18812.6,已完成
ORD0053,2025-01-28,马超先生,华东,办公文具,笔记本,6,4491.35,26948.1,待支付
ORD0054,2025-09-26,刘洋,华中,电子产品,鼠标,11,549.24,6041.64,待支付
ORD0055,2025-04-17,张伟,西北,食品饮料,方便面,16,2709.94,43359.04,待支付
ORD0056,2025-11-17,梁平先生,华北,电子产品,键盘,2,3737.7,7475.4,已完成
ORD0057,2025-06-12,胡涛女士,华中,食品饮料,,3,,NaN,待支付
ORD0058,2025-09-10,孙艳先生,东北,家居用品,拖鞋,5,1642.36,8211.8,待发货
ORD0059,2025-03-23,刘洋女士,西南,电子产品,键盘,11,2135.64,23492.04,已完成
ORD0060,2025-08-17,赵敏女士,华北,服装鞋帽,羽绒服,4,1473.15,5892.6,配送中
ORD0061,2025-05-06,,华东,食品饮料,茶叶,13,1233.52,16035.76,已取消
ORD0062,2025-04-29,朱红,华南,食品饮料,,4,,,待支付
ORD0063,2025-08-18,王芳,,运动户外,跳绳,20,192.09,3841.8,待支付
ORD0064,2025-04-15,胡涛,华中,食品饮料,坚果,10,162.18,1621.8,已完成
ORD0065,2025-11-24,张伟女士,华北,运动户外,背包,10,2092.14,NA,已完成
ORD0066,2025-07-20,张伟先生,东北,服装鞋帽,连衣裙,14,456.99,6397.86,已完成
ORD0067,2025-11-25,赵敏女士,华东,家居用品,水杯,6,1420.06,8520.36,已完成
ORD0068,2025-01-23,赵敏女士,西南,家居用品,桌布,20,4456.23,89124.6,已完成
ORD0069,,王芳,东北,办公文具,便签,8,4079.17,32633.36,配送中
ORD0070,2025-03-02,张伟,华中,家居用品,拖鞋,10,2131.57,21315.7,已完成
ORD0071,2025-08-27,孙艳,东北,办公文具,剪刀,16,340.27,5444.32,已完成
ORD0072,2025-11-22,梁平,东北,运动户外,跳绳,,1892.42,,已完成
ORD0073,2025-02-26,何勇先生,西南,家居用品,收纳盒,8,1757.73,14061.84,已完成
ORD0074,2025-09-03,杨磊女士,华北,食品饮料,茶叶,2,2020.31,4040.62,待支付
ORD0075,,朱红女士,东北,食品饮料,巧克力,19,4481.02,85139.38,已完成
ORD0076,2025-07-08,高洁,华北,食品饮料,饼干,6,4790.11,28740.66,待发货
ORD0077,2025-01-01,高洁女士,华东,服装鞋帽,连衣裙,12,664.46,7973.52,已完成
ORD0078,2025-09-25,陈静女士,,服装鞋帽,帽子,7,4143.22,29002.54,配送中
ORD0079,2025-11-23,何勇,西南,运动户外,手套,1,,,待发货
ORD0080,2025-09-10,赵敏先生,西南,电子产品,,13,800.29,10403.77,待发货
ORD0081,2025-09-23,徐明先生,西北,办公文具,计算器,6,323.52,1941.12,配送中
ORD0082,2025-08-12,周丽,西北,家居用品,衣架,4,3221.88,12887.52,待支付
ORD0083,2025-11-22,杨磊,东北,家居用品,拖鞋,7,2539.61,17777.27,配送中
ORD0084,2025-04-09,黄强,华中,食品饮料,方便面,18,4199.36,75588.48,待支付
ORD0085,2025-04-19,王芳先生,西北,办公文具,文件夹,1,3111.74,3111.74,已完成
ORD0086,,胡涛先生,东北,电子产品,平板,12,4773.08,57276.96,配送中
ORD0087,2025-04-15,,华北,电子产品,平板,10,667.61,6676.1,已完成
ORD0088,2025-05-12,林雪,,电子产品,U盘,20,4257.63,85152.6,已完成
ORD0089,2025-06-27,王芳先生,华北,电子产品,充电器,3,1439.11,4317.33,配送中
ORD0090,2025-02-18,杨磊先生,西北,服装鞋帽,围巾,17,4719.63,80233.71,已完成
ORD0091,2025-02-11,张伟女士,华中,运动户外,跳绳,12,4642.88,55714.56,待支付
ORD0092,2025-05-15,朱红,西南,办公文具,计算器,8,638.77,5110.16,待发货
ORD0093,2025-03-21,黄强,西北,家居用品,水杯,15,1289.78,19346.7,待支付
ORD0094,2025-06-04,刘洋先生,华北,办公文具,文件夹,11,1746.42,19210.62,待支付
ORD0095,2025-02-22,张伟女士,华中,服装鞋帽,帽子,14,550.85,7711.9,已完成
ORD0096,2025-08-12,高洁,华中,办公文具,胶带,5,3692.51,None,已取消
ORD0097,2025-04-28,胡涛,华中,运动户外,帐篷,4,1568.51,6274.04,已完成
ORD0098,2025-03-22,胡涛女士,华北,家居用品,台灯,14,3307.21,46300.94,配送中
ORD0099,,朱红,华东,办公文具,订书机,4,2286.64,9146.56,待发货
ORD0100,2025-08-22,林雪,华东,运动户外,跳绳,20,287.81,5756.2,已完成
